sn	book_id	isbn_10	isbn_13	Title	isbn_13	Title	Amazon	Avg_rating	Ratings	Label
94	cZe1AQAAQBAJ	199964270	9780199964277	"Dog Whistle Politics, How Coded Racial Appeals Have Wrecked The Middle Class"	9780199964277	Dog Whistle Politics: How Coded Racial Appeals Have Reinvented Racism and Wrecked the Middle Class	http://www.amazon.com/Dog-Whistle-Politics-Appeals-Reinvented/dp/0199964270	4.2	146	YES
95	ea9CghLZCSIC	1250014697	9781250014696	"Dogtripping, 25 Rescues, 11 Volunteers, And 3 Rvs On Our Canine Cross-Country Adventure"	9781250014696	"Dogtripping: 25 Rescues, 11 Volunteers, and 3 RVs on Our Canine Cross-Country Adventure"	http://www.amazon.com/Dogtripping-Rescues-Volunteers-Cross-Country-Adventure/dp/1250014697	4.7	361	YES
96	c-j8CQAAQBAJ	292759479	9780292759473	"Don'T Suck, Don'T Die, Giving Up Vic Chesnutt"	9780292759473	"Don''t Suck, Don''t Die: Giving Up Vic Chesnutt (American Music)"	http://www.amazon.com/Dont-Suck-Die-Chesnutt-American/dp/0292759479	4.9	11	YES
97	rHFvnOrz4GQC	1101609141	9781101609149	Dream Eyes	9781101609149	Dream Eyes (Dark Legacy Novel Book 2)	http://www.amazon.com/Dream-Eyes-Dark-Legacy-Novel-ebook/dp/B008ON434Y	4.4	281	YES
98	Ckj2gJmGFBMC	1101603127	9781101603123	"Drinking With Men, A Memoir"	9781101603123	Drinking with Men: A Memoir	http://www.amazon.com/Drinking-Men-Memoir-Rosie-Schaap-ebook/dp/B008ON3ZOI	3.7	82	YES
99	Pmc5wFoi578C	1401937527	9781401937522	"Dying To Be Me, My Journey From Cancer, To Near Death, To True Healing"	9781401937522	"Dying to Be Me: My Journey from Cancer, to Near Death, to True Healing"	http://www.amazon.com/Dying-Be-Me-Journey-Healing-ebook/dp/B006M7JCC2	4.7	0	NA
100	F8HiBAAAQBAJ	006236670X	9780062366702	"Dylan Goes Electric!, Newport, Seeger, Dylan, And The Night That Split The Sixties"	9780062366702	"Dylan Goes Electric!: Newport, Seeger, Dylan, and the Night that Split the Sixties"	http://www.amazon.com/Dylan-Goes-Electric-Newport-Sixties-ebook/dp/B00OP1FJ6K	4.5	43	YES
101	BAp-BAAAQBAJ	545576504	9780545576505	Echo	9780545576505	Echo	http://www.amazon.com/Echo-Pam-Munoz-Ryan-ebook/dp/B00M9M402G	4.6	178	YES
102	gxiqBAAAQBAJ	1619024063	9781619024069	"Electric City, A Novel"	9781619024069	Electric City: A Novel	http://www.amazon.com/Electric-City-Novel-Elizabeth-Rosner-ebook/dp/B00JZBAYVU	4.2	42	YES
103	laOngeZsHUcC	307960714	9780307960719	Eleven Days	9780307960719	Eleven Days	http://www.amazon.com/Eleven-Days-Lea-Carpenter-ebook/dp/B00ATLA8J8	4.5	83	YES
104	GuMsXpLBMAUC	019992368X	9780199923687	"Embattled Dreams, California In War And Peace, 1940-1950"	9780199923687	"Embattled Dreams: California in War and Peace, 1940-1950 (Americans and the California Dream)"	http://www.amazon.com/Embattled-Dreams-California-1940-1950-Americans-ebook/dp/B006GODSDK	4.8	6	NA
105	NUYGAwAAQBAJ	1627790543	9781627790543	"Emeralds Included, A Jana Bibi Adventure"	9781627790543	Emeralds Included: A Jana Bibi Adventure (Jana Bibi Adventures)	http://www.amazon.com/Emeralds-Included-Jana-Adventure-Adventures-ebook/dp/B00HP1I7NE	4.7	9	NA
107	Ktl9BAAAQBAJ	62198785	9780062198785	"Epitaph, A Novel Of The O.K. Corral"	9780062198785	Epitaph: A Novel of the O.K. Corral	http://www.amazon.com/Epitaph-Corral-Mary-Doria-Russell-ebook/dp/B00KVHX5U4	4.4	283	YES
108	1OaiAgAAQBAJ	802192513	9780802192516	Euphoria	9780802192516	Euphoria	http://www.amazon.com/Euphoria-Lily-King-ebook/dp/B00HWGLYHI	4	0	NA
109	StVJAgAAQBAJ	1101634618	9781101634615	"Everything I Never Told You, A Novel"	9781101634615	Everything I Never Told You: A Novel	http://www.amazon.com/Everything-Never-Told-You-Novel-ebook/dp/B00G3L7V0C	4.1	0	NA
110	ysU3Qu-TxFMC	684869691	9780684869698	"Evidence Of Things Unseen, A Novel"	9780684869698	Evidence of Things Unseen : A Novel	http://www.amazon.com/Evidence-Things-Unseen-Marianne-Wiggins/dp/0684869691	4.3	57	YES
111	DeluAwAAQBAJ	804197830	9780804197830	"F, A Novel"	9780804197830	F: A Novel	http://www.amazon.com/F-Novel-Daniel-Kehlmann-ebook/dp/B00IQROTBA	3.7	35	YES
113	9t5JBgAAQBAJ	698405129	9780698405127	"Fates And Furies, A Novel"	9780698405127	Fates and Furies: A Novel	http://www.amazon.com/Fates-Furies-Novel-Lauren-Groff-ebook/dp/B00SI0B5VW	3.5	0	NA
114	NYANAwAAQBAJ	1451693427	9781451693423	"Fever, A Novel"	9781451693423	Fever: A Novel	http://www.amazon.com/Fever-Novel-Mary-Beth-Keane/dp/1451693427	4.1	314	YES
115	J5auAwAAQBAJ	1619222531	9781619222533	Fever Pitch	9781619222533	Fever Pitch (Love Lessons)	http://www.amazon.com/Fever-Pitch-Lessons-Heidi-Cullinan-ebook/dp/B00KNPC1M2	4.6	58	YES
116	bzHCAwAAQBAJ	1481423606	9781481423601	Fig	9781481423601	Fig	http://www.amazon.com/Fig-Sarah-Elizabeth-Schantz-ebook/dp/B00KU4NZUS	4.3	38	YES
117	KPJMBAAAQBAJ	374710600	9780374710606	"Find Me, A Novel"	9780374710606	Find Me: A Novel	http://www.amazon.com/Find-Laura-van-den-Berg-ebook/dp/B00M64TX8I	2.9	65	NO
118	9GahAgAAQBAJ	757399819	9780757399817	"Fit For Life, Not Fat For Life"	9780757399817	Fit for Life: Not Fat for Life	http://www.amazon.com/Fit-Life-Not-Fat-ebook/dp/B00AM1UB4C	4.1	69	YES
